,precision,recall,f1-score,support
battery,0.9523809523809523,0.9302325581395349,0.9411764705882353,129.0
biological,1.0,0.8468468468468469,0.9170731707317074,111.0
cardboard,0.9393939393939394,0.775,0.8493150684931506,120.0
clothes,0.9371980676328503,0.9948717948717949,0.9651741293532339,195.0
glass,0.8066037735849056,0.890625,0.8465346534653465,192.0
metal,0.8692307692307693,0.875968992248062,0.8725868725868726,129.0
paper,0.8384615384615385,0.8650793650793651,0.8515625,126.0
plastic,0.7659574468085106,0.631578947368421,0.6923076923076923,57.0
shoes,0.9844961240310077,0.9202898550724637,0.951310861423221,138.0
trash,0.7181818181818181,0.9080459770114943,0.8020304568527918,87.0
accuracy,0.8847352024922118,0.8847352024922118,0.8847352024922118,0.8847352024922118
macro avg,0.8811904429706292,0.8638539336637983,0.8689071875802252,1284.0
weighted avg,0.8909538505796173,0.8847352024922118,0.8849283272689636,1284.0
